,Gamma_0=1,Gamma_0=2,Gamma_0=4,Gamma_0=6,Gamma_0=8,Gamma_0=10,Gamma_0=12,Gamma_0=14,Gamma_0=16,Gamma_0=18,Gamma_0=20,Gamma_0=22,Gamma_0=24,Gamma_0=26,Gamma_0=28,Gamma_0=30,Gamma_0=32,Gamma_0=34,Gamma_0=36,Gamma_0=38,Gamma_0=40,Gamma_0=42,Gamma_0=44,Gamma_0=46,Gamma_0=48,Gamma_0=50,Gamma_0=52,Gamma_0=54,Gamma_0=56,Gamma_0=58,Gamma_0=60,Gamma_0=62,Gamma_0=64,Gamma_0=66,Gamma_0=68,Gamma_0=70,Gamma_0=72,Gamma_0=74,Gamma_0=76,Gamma_0=78,Gamma_0=80,Gamma_0=82,Gamma_0=84,Gamma_0=86,Gamma_0=88,Gamma_0=90,Gamma_0=92,Gamma_0=94,Gamma_0=96,Gamma_0=98,Gamma_0=100
Gamma_1=0.05,0.529480337,0.524564607,0.526551966,0.522247191,0.527254213,0.527914326,0.533609551,0.536558989,0.542233146,0.536558989,0.536594101,0.535231742,0.544613764,0.549606742,0.548939607,0.564030899,0.578988764,0.583988764,0.5875,0.5875,0.586228933,0.590561798,0.596636236,0.605203652,0.603504213,0.603139045,0.613054775,0.606924157,0.616839888,0.621271067,0.621095506,0.625119382,0.629817416,0.624325843,0.629066011,0.633405899,0.632949438,0.637338483,0.641720506,0.641186798,0.639473315,0.640175562,0.64002809,0.639564607,0.639655899,0.639796348,0.644698034,0.644087079,0.644782303,0.643644663,0.648082865
Gamma_1=0.1,0.529480337,0.524522472,0.525224719,0.526580056,0.527247191,0.522275281,0.532219101,0.527261236,0.527289326,0.541587079,0.542268258,0.541580056,0.541580056,0.540231742,0.545266854,0.555252809,0.553974719,0.553967697,0.573932584,0.588813202,0.59247191,0.592492978,0.592492978,0.596636236,0.605997191,0.610245787,0.603342697,0.607633427,0.612984551,0.622991573,0.622373596,0.621699438,0.626067416,0.630070225,0.630491573,0.630639045,0.63448736,0.638876404,0.638335674,0.637675562,0.640926966,0.640941011,0.640021067,0.644501404,0.642668539,0.644234551,0.644058989,0.642794944,0.642745787,0.647106742,0.651474719
Gamma_1=0.15,0.529480337,0.524536517,0.525182584,0.525210674,0.525898876,0.526573034,0.522275281,0.517303371,0.522282303,0.527949438,0.527942416,0.537233146,0.540905899,0.541544944,0.540870787,0.539557584,0.544550562,0.544599719,0.550301966,0.554634831,0.564002809,0.578932584,0.59323736,0.593132022,0.591875,0.601095506,0.596102528,0.606032303,0.606116573,0.613876404,0.623827247,0.618567416,0.62261236,0.622366573,0.62181882,0.62559691,0.62991573,0.63494382,0.639929775,0.63820927,0.637766854,0.636186798,0.634143258,0.634157303,0.644424157,0.64247191,0.64747191,0.647338483,0.645983146,0.646889045,0.656411517
Gamma_1=0.2,0.529473315,0.52948736,0.525189607,0.525182584,0.525203652,0.525224719,0.526587079,0.522282303,0.522282303,0.517977528,0.527949438,0.533602528,0.528616573,0.537921348,0.541544944,0.542233146,0.540231742,0.539529494,0.544550562,0.544557584,0.544655899,0.548328652,0.563307584,0.578384831,0.588251404,0.593223315,0.59315309,0.59684691,0.601067416,0.601664326,0.606650281,0.610969101,0.614360955,0.618469101,0.622865169,0.62252809,0.621116573,0.626341292,0.629452247,0.63497191,0.633483146,0.63363764,0.636313202,0.637352528,0.635660112,0.638757022,0.638539326,0.647647472,0.642120787,0.651011236,0.64630618
Gamma_1=0.25,0.52948736,0.524529494,0.525182584,0.525182584,0.525182584,0.525182584,0.525884831,0.526587079,0.521636236,0.522963483,0.522963483,0.517977528,0.517963483,0.528623596,0.533609551,0.532935393,0.542226124,0.542233146,0.541551966,0.540196629,0.540238764,0.540203652,0.544550562,0.548321629,0.548321629,0.563363764,0.584009831,0.583265449,0.59195927,0.591875,0.596741573,0.595997191,0.606018258,0.606650281,0.609094101,0.613904494,0.622752809,0.621636236,0.626727528,0.62568118,0.624957865,0.627787921,0.637872191,0.641924157,0.637401685,0.640821629,0.640646067,0.639066011,0.637191011,0.637134831,0.64752809
Gamma_1=0.3,0.52940309,0.524515449,0.525168539,0.525182584,0.525182584,0.525182584,0.525196629,0.520926966,0.521608146,0.517977528,0.517977528,0.517977528,0.517977528,0.517977528,0.518651685,0.52363764,0.528609551,0.528623596,0.537921348,0.542219101,0.542219101,0.540877809,0.539529494,0.539571629,0.538883427,0.543995787,0.543328652,0.573202247,0.578342697,0.577738764,0.588244382,0.591882022,0.59684691,0.596102528,0.600386236,0.604213483,0.606053371,0.608483146,0.622296348,0.621755618,0.625526685,0.624473315,0.624339888,0.633792135,0.627914326,0.638216292,0.636615169,0.636369382,0.646032303,0.645077247,0.643595506
Gamma_1=0.35,0.529424157,0.529452247,0.525175562,0.525182584,0.525182584,0.525182584,0.525168539,0.525898876,0.515955056,0.521615169,0.522289326,0.517977528,0.518651685,0.517303371,0.518651685,0.518651685,0.518651685,0.52363764,0.528623596,0.528623596,0.533630618,0.542907303,0.542233146,0.541587079,0.540919944,0.540245787,0.544550562,0.544508427,0.548988764,0.548335674,0.563307584,0.578391854,0.588244382,0.586973315,0.597450843,0.600428371,0.601720506,0.599712079,0.608426966,0.604066011,0.617640449,0.620070225,0.624494382,0.625625,0.633546348,0.632485955,0.632661517,0.632282303,0.631179775,0.641355337,0.646025281
Gamma_1=0.4,0.529367978,0.529438202,0.525140449,0.525161517,0.525182584,0.525168539,0.525196629,0.525210674,0.515955056,0.515941011,0.520933989,0.517977528,0.518651685,0.517303371,0.518651685,0.518651685,0.518651685,0.518651685,0.518651685,0.518651685,0.528623596,0.528623596,0.528623596,0.537247191,0.542233146,0.542226124,0.540210674,0.540196629,0.545224719,0.538890449,0.543897472,0.543328652,0.553314607,0.568356742,0.583307584,0.582001404,0.591320225,0.600639045,0.600554775,0.598525281,0.603995787,0.608539326,0.610919944,0.615730337,0.625014045,0.628202247,0.633623596,0.632991573,0.632928371,0.632134831,0.631741573
Gamma_1=0.45,0.529367978,0.52940309,0.525126404,0.525140449,0.525154494,0.525175562,0.525182584,0.520224719,0.515941011,0.516615169,0.516622191,0.516615169,0.517303371,0.517977528,0.517303371,0.518651685,0.518651685,0.518651685,0.51863764,0.518651685,0.518651685,0.518644663,0.518651685,0.528616573,0.528630618,0.537907303,0.542935393,0.542233146,0.540912921,0.540919944,0.53886236,0.545231742,0.543876404,0.544599719,0.548321629,0.563314607,0.568433989,0.577106742,0.586980337,0.59565309,0.595660112,0.598518258,0.599150281,0.604150281,0.612745787,0.611439607,0.626130618,0.623771067,0.633876404,0.62883427,0.63320927
Gamma_1=0.5,0.528707865,0.528728933,0.525105337,0.525126404,0.525154494,0.525154494,0.525175562,0.515266854,0.520238764,0.520912921,0.516629213,0.517289326,0.517289326,0.517963483,0.517977528,0.517977528,0.518651685,0.518651685,0.518651685,0.518651685,0.518651685,0.518644663,0.518644663,0.518651685,0.518644663,0.528623596,0.528623596,0.52863764,0.542907303,0.542233146,0.541558989,0.540919944,0.541587079,0.544550562,0.545231742,0.548869382,0.548272472,0.548988764,0.568960674,0.572212079,0.586537921,0.590147472,0.601271067,0.599227528,0.599796348,0.602724719,0.612661517,0.617830056,0.622724719,0.619325843,0.634789326
Gamma_1=0.55,0.528700843,0.529360955,0.52508427,0.525098315,0.525140449,0.525154494,0.525154494,0.515266854,0.520912921,0.516615169,0.516629213,0.516615169,0.517296348,0.517303371,0.517963483,0.518651685,0.517977528,0.518651685,0.518644663,0.518651685,0.518651685,0.518651685,0.518651685,0.518651685,0.518644663,0.518651685,0.518651685,0.52863764,0.52863764,0.528623596,0.543609551,0.542268258,0.542261236,0.541594101,0.540905899,0.540238764,0.543883427,0.544557584,0.54320927,0.548995787,0.558321629,0.563307584,0.577703652,0.577191011,0.58505618,0.595014045,0.592984551,0.597865169,0.602745787,0.612205056,0.616481742
Gamma_1=0.6,0.528707865,0.528700843,0.524410112,0.52443118,0.525105337,0.525140449,0.525154494,0.520224719,0.515266854,0.515941011,0.516615169,0.516615169,0.517289326,0.517296348,0.517296348,0.518651685,0.517977528,0.517977528,0.517977528,0.518651685,0.518651685,0.518651685,0.518644663,0.518644663,0.518644663,0.518644663,0.518644663,0.518644663,0.518651685,0.518651685,0.52863764,0.52863764,0.528630618,0.532949438,0.541594101,0.541587079,0.541594101,0.540231742,0.539564607,0.543883427,0.545238764,0.544557584,0.552661517,0.563307584,0.573293539,0.577191011,0.580273876,0.589396067,0.59377809,0.59872191,0.602858146
Gamma_1=0.65,0.528700843,0.528679775,0.524424157,0.524424157,0.52508427,0.52511236,0.520196629,0.515252809,0.515933989,0.515266854,0.516622191,0.517289326,0.516615169,0.517303371,0.517289326,0.517296348,0.517977528,0.518644663,0.51863764,0.518644663,0.518651685,0.51863764,0.518644663,0.518644663,0.518651685,0.518651685,0.518644663,0.518651685,0.518651685,0.518651685,0.518651685,0.518651685,0.523644663,0.523644663,0.52863764,0.537935393,0.538616573,0.541580056,0.541594101,0.540919944,0.540238764,0.540912921,0.543883427,0.544564607,0.543335674,0.552682584,0.566994382,0.567085674,0.575182584,0.584620787,0.589417135
Gamma_1=0.7,0.528700843,0.52869382,0.524389045,0.524424157,0.52508427,0.520133427,0.515210674,0.515238764,0.515926966,0.515926966,0.516615169,0.517289326,0.517289326,0.517289326,0.517289326,0.517289326,0.517977528,0.51863764,0.518651685,0.518644663,0.518651685,0.518651685,0.518644663,0.518651685,0.518651685,0.518651685,0.518651685,0.518644663,0.518651685,0.518644663,0.518651685,0.518651685,0.518651685,0.518651685,0.524311798,0.528630618,0.529325843,0.534297753,0.533623596,0.543609551,0.541594101,0.542268258,0.541587079,0.540912921,0.545231742,0.543890449,0.544557584,0.548195225,0.552682584,0.565674157,0.571418539
Gamma_1=0.75,0.52869382,0.528679775,0.524360955,0.524424157,0.524424157,0.52508427,0.520161517,0.515224719,0.515905899,0.515926966,0.516601124,0.517289326,0.517289326,0.517289326,0.517289326,0.517296348,0.517289326,0.517296348,0.517977528,0.518644663,0.518644663,0.51863764,0.518644663,0.518651685,0.518651685,0.518644663,0.518651685,0.518644663,0.518651685,0.518651685,0.518651685,0.518651685,0.518644663,0.518644663,0.518651685,0.518651685,0.51931882,0.519325843,0.524325843,0.529325843,0.534325843,0.542261236,0.542928371,0.542935393,0.542261236,0.540238764,0.545955056,0.545231742,0.545231742,0.54320927,0.546910112
Gamma_1=0.8,0.528700843,0.52866573,0.524353933,0.524382022,0.524417135,0.520133427,0.520133427,0.515210674,0.515898876,0.515919944,0.516601124,0.517275281,0.517282303,0.517289326,0.517289326,0.517289326,0.517970506,0.517977528,0.517977528,0.517956461,0.51863764,0.518644663,0.518644663,0.51863764,0.518651685,0.518623596,0.518651685,0.518644663,0.518651685,0.51863764,0.518651685,0.518651685,0.519311798,0.519325843,0.518630618,0.518651685,0.519325843,0.518651685,0.518651685,0.519325843,0.519325843,0.52431882,0.529325843,0.534325843,0.54363764,0.542935393,0.542261236,0.542303371,0.540955056,0.539606742,0.544606742
Gamma_1=0.85,0.528686798,0.52866573,0.524367978,0.524353933,0.524382022,0.51945927,0.515182584,0.515189607,0.515884831,0.516573034,0.517275281,0.517275281,0.517275281,0.517275281,0.517289326,0.517956461,0.517282303,0.517289326,0.517970506,0.518651685,0.51863764,0.51863764,0.51863764,0.518651685,0.518651685,0.518644663,0.518644663,0.519311798,0.51863764,0.518651685,0.518651685,0.51863764,0.518651685,0.51863764,0.518644663,0.519325843,0.518651685,0.519325843,0.519325843,0.51931882,0.519325843,0.51931882,0.51931882,0.519325843,0.52931882,0.529325843,0.539325843,0.54431882,0.541629213,0.542303371,0.542275281
Gamma_1=0.9,0.528700843,0.523707865,0.524353933,0.524353933,0.524382022,0.52505618,0.519445225,0.515182584,0.515870787,0.515884831,0.516580056,0.517261236,0.517275281,0.517275281,0.517282303,0.517268258,0.517282303,0.517963483,0.517296348,0.517296348,0.51863764,0.518644663,0.51863764,0.518644663,0.518630618,0.518644663,0.518651685,0.51863764,0.51863764,0.51863764,0.51931882,0.51863764,0.51931882,0.51863764,0.52,0.51931882,0.51931882,0.51863764,0.51931882,0.51931882,0.51931882,0.51931882,0.52,0.51931882,0.51931882,0.51931882,0.52931882,0.52931882,0.53431882,0.545,0.54431882
Gamma_1=0.95,0.528658708,0.528644663,0.524325843,0.524353933,0.52434691,0.51445927,0.514494382,0.514480337,0.515856742,0.516530899,0.516558989,0.517247191,0.517268258,0.517275281,0.517275281,0.517275281,0.517275281,0.517956461,0.517303371,0.517963483,0.51863764,0.518644663,0.518651685,0.519325843,0.51863764,0.51931882,0.51863764,0.51863764,0.51931882,0.51931882,0.51863764,0.51931882,0.52,0.51863764,0.52,0.51931882,0.52,0.51931882,0.51931882,0.52,0.51931882,0.51931882,0.52,0.51931882,0.51931882,0.51931882,0.51931882,0.51931882,0.52931882,0.524325843,0.53
Gamma_1=1,0.528672753,0.528644663,0.524339888,0.524353933,0.524339888,0.514466292,0.514480337,0.515161517,0.515856742,0.515856742,0.516544944,0.517233146,0.517254213,0.517254213,0.517268258,0.517275281,0.517275281,0.517956461,0.517956461,0.517268258,0.517949438,0.518630618,0.517970506,0.518644663,0.518630618,0.51931882,0.51863764,0.51863764,0.51931882,0.51863764,0.52,0.51931882,0.51931882,0.51863764,0.51863764,0.51931882,0.52,0.51931882,0.51931882,0.51931882,0.52,0.51431882,0.51931882,0.51931882,0.51931882,0.51931882,0.52,0.52,0.52,0.52,0.51931882
