,POOL,POOL
-16.78435,-1.540635,
14.88474,-6.11742,
15.80482,-5.245312,
9.606956,11.73971,
-1.746474,7.507626,
16.42403,-5.503924,
7.466434,11.64241,
0.1639521,6.336314,
12.66413,-3.29173,
9.026187,11.47492,
6.623201,8.662951,
14.33888,-2.861487,
14.81108,-5.10626,
6.960961,11.42991,
-13.31384,0.5875872,
5.113224,13.25743,
7.996646,11.39671,
-8.346213,1.458796,
7.202528,2.823735,
4.204876,8.933157,
5.598939,12.01912,
0.03829208,16.41985,
-12.09666,9.842057,
16.61151,-5.152411,
-1.240735,8.245223,
5.407138,11.49569,
1.702544,10.87206,
11.9034,6.268338,
7.800546,11.50229,
1.634232,11.00128,
13.98514,-6.440328,
-0.9326382,7.184125,
6.352652,13.14187,
15.40725,-6.058446,
-4.489232,9.860168,
2.005316,8.288898,
4.062421,8.97337,
4.721792,9.661675,
9.987246,11.99724,
3.866911,12.78802,
12.21176,-2.111934,
-0.7999312,13.0171,
5.08093,7.756334,
3.066499,7.00051,
4.827965,10.3457,
7.975568,6.829671,
-5.736408,8.408291,
7.432339,11.86207,
-1.696781,12.46851,
5.091228,7.764576,
14.08909,-4.106353,
2.864336,13.13379,
3.781497,9.17944,
2.725288,13.55129,
7.411281,11.05692,
-1.034864,7.317896,
-9.250654,8.94308,
9.649076,-4.072872,
-12.98822,8.293286,
9.34473,-11.13292,
-13.8052,7.109095,
-1.313973,7.699589,
-4.244942,9.219543,
-6.097915,7.607355,
3.403318,10.78997,
2.043349,6.74176,
-11.07015,8.099457,
-7.898034,-1.273349,
-11.91056,-8.402813,
-1.553831,-2.090542,
6.298716,8.935686,
8.232559,3.998401,
-6.642971,9.263995,
-10.74116,5.211676,
-9.801297,-1.811041,
-12.06007,3.319604,
-9.274021,9.761057,
-4.156339,8.14694,
-9.660498,9.610745,
-13.08455,5.800421,
-8.911563,2.831212,
-10.92548,-0.6631643,
7.573616,-12.13022,
-9.535569,7.429821,
11.78341,0.1755865,
-3.91826,6.326806,
-2.160089,10.88452,
5.474144,11.56316,
6.555182,-13.23037,
14.57384,0.562725,
-5.704536,7.177374,
-11.02817,6.264586,
-11.69436,4.36971,
9.428793,6.662898,
-11.00014,0.4779977,
-11.44164,5.572799,
9.880589,-5.189745,
-9.980483,8.535669,
-2.559961,4.26119,
5.905035,-6.722384,