-16.83725,-3.135146,
,,
,,
,,
,,
,,
-16.70545,-2.535731,
,,
-16.61805,-2.141162,
,,
-16.38036,-2.78293,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-15.99536,-2.780348,
,,
-15.98725,-1.756224,
,,
-15.86864,-3.145129,
,,
-15.78269,-1.546375,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-15.29878,-0.7432938,
,,
-15.2414,-2.789886,
,,
-15.19497,-3.532718,
,,
,,
,,
,,
,,
,,
,,
-15.04262,-3.996526,
,,
-15.00651,-3.913849,
,,
-14.91722,-3.953085,
,,
,,
-14.81487,-2.095284,
,,
-14.78454,-0.7965388,
,,
,,
,,
,,
,,
,,
,,
-14.56305,-3.710666,
,,
-14.50914,-2.636716,
,,
-14.39143,-2.915895,
,,
-14.3667,-3.91796,
,,
-14.31577,-1.614114,
,,
,,
,,
,,
,,
,,
,,
-14.0974,-1.789361,
,,
-14.03121,-3.078825,
,,
-14.02291,-3.597437,
,,
-13.7889,-2.28377,
,,
-13.77289,-2.246708,
,,
-13.74543,-3.068155,
,,
-13.67401,-3.077342,